Module	Section	Sample Name	Source
FastQC	all_sections	SRR14371954_2	/cluster/scratch/saleka/qc_raw_new/SRR14371954_2_fastqc.zip
FastQC	all_sections	SRR14371954_1	/cluster/scratch/saleka/qc_raw_new/SRR14371954_1_fastqc.zip
FastQC	all_sections	SRR14371955_1	/cluster/scratch/saleka/qc_raw_new/SRR14371955_1_fastqc.zip
FastQC	all_sections	SRR15343194_1	/cluster/scratch/saleka/qc_raw_new/SRR15343194_1_fastqc.zip
FastQC	all_sections	SRR14371957_2	/cluster/scratch/saleka/qc_raw_new/SRR14371957_2_fastqc.zip
FastQC	all_sections	SRR15343192_2	/cluster/scratch/saleka/qc_raw_new/SRR15343192_2_fastqc.zip
FastQC	all_sections	SRR14371955_2	/cluster/scratch/saleka/qc_raw_new/SRR14371955_2_fastqc.zip
FastQC	all_sections	SRR15343191_1	/cluster/scratch/saleka/qc_raw_new/SRR15343191_1_fastqc.zip
FastQC	all_sections	SRR15343189_2	/cluster/scratch/saleka/qc_raw_new/SRR15343189_2_fastqc.zip
FastQC	all_sections	SRR15343190_1	/cluster/scratch/saleka/qc_raw_new/SRR15343190_1_fastqc.zip
FastQC	all_sections	SRR15343191_2	/cluster/scratch/saleka/qc_raw_new/SRR15343191_2_fastqc.zip
FastQC	all_sections	SRR15343195_1	/cluster/scratch/saleka/qc_raw_new/SRR15343195_1_fastqc.zip
FastQC	all_sections	SRR15343194_2	/cluster/scratch/saleka/qc_raw_new/SRR15343194_2_fastqc.zip
FastQC	all_sections	SRR15343192_1	/cluster/scratch/saleka/qc_raw_new/SRR15343192_1_fastqc.zip
FastQC	all_sections	SRR14371956_2	/cluster/scratch/saleka/qc_raw_new/SRR14371956_2_fastqc.zip
FastQC	all_sections	SRR14371953_2	/cluster/scratch/saleka/qc_raw_new/SRR14371953_2_fastqc.zip
FastQC	all_sections	SRR15343193_2	/cluster/scratch/saleka/qc_raw_new/SRR15343193_2_fastqc.zip
FastQC	all_sections	SRR14371956_1	/cluster/scratch/saleka/qc_raw_new/SRR14371956_1_fastqc.zip
FastQC	all_sections	SRR15343190_2	/cluster/scratch/saleka/qc_raw_new/SRR15343190_2_fastqc.zip
FastQC	all_sections	SRR14371953_1	/cluster/scratch/saleka/qc_raw_new/SRR14371953_1_fastqc.zip
FastQC	all_sections	SRR14371957_1	/cluster/scratch/saleka/qc_raw_new/SRR14371957_1_fastqc.zip
FastQC	all_sections	SRR15343193_1	/cluster/scratch/saleka/qc_raw_new/SRR15343193_1_fastqc.zip
FastQC	all_sections	SRR15343189_1	/cluster/scratch/saleka/qc_raw_new/SRR15343189_1_fastqc.zip
FastQC	all_sections	SRR15343195_2	/cluster/scratch/saleka/qc_raw_new/SRR15343195_2_fastqc.zip
